line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,Award,Bullet,Certification,Contact,Date,Degree,Heading,Interest,Location,Name,Organization,Skill,Summary,Title,Training,Unknown,Volunteer
22,2,0.0,0.0,0.0,13.600000000000001,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
473,54,5.6000000000000005,4.2,1.7000000000000002,5.1,0.0,33.300000000000004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
349,59,2.7,8.1,4.3,5.2,2.7,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,8,0.0,0.0,0.0,5.1,10.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6,0.0,0.0,0.0,4.8,0.0,62.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12,6.7,0.0,2.1999999999999997,5.6000000000000005,6.7,26.700000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,17,0.0,8.3,0.0,7.9,4.2,41.699999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,20,3.8,0.0,2.8000000000000003,4.6,3.8,57.699999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,20,4.2,8.3,1.7999999999999998,3.5000000000000004,12.5,37.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,20,3.8,0.0,0.0,5.0,3.8,46.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,13,7.1,0.0,2.9000000000000004,1.4000000000000001,7.1,21.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,48,8.799999999999999,2.9000000000000004,4.3999999999999995,9.2,0.0,32.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,9,0.0,10.0,4.0,4.0,0.0,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,0.0,0.0,0.0,2.8000000000000003,14.299999999999999,28.599999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5,0.0,44.4,0.0,11.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,2,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
195,37,1.9,1.9,2.6,9.700000000000001,11.1,29.599999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,11,0.0,0.0,0.0,14.499999999999998,0.0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,18,0.0,0.0,0.0,4.7,12.5,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
822,106,10.4,5.6000000000000005,3.2,2.3,0.0,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,66,5.0,7.5,4.2,4.2,6.2,18.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,131,11.700000000000001,1.7999999999999998,2.3,4.2,1.7999999999999998,31.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,54,6.3,4.8,4.2,2.7,9.5,22.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,40,14.6,6.2,3.6999999999999997,4.1000000000000005,4.2,27.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,64,6.800000000000001,3.4000000000000004,1.4000000000000001,5.6000000000000005,2.3,19.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,82,11.3,4.7,2.4,4.6,2.8000000000000003,19.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,0.0,20.0,3.6999999999999997,0.0,0.0,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
498,78,6.2,8.200000000000001,3.5999999999999996,4.3999999999999995,2.1,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,14,6.7,0.0,5.3,1.3,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,17,4.3,13.0,2.9000000000000004,5.7,8.7,26.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,37,6.800000000000001,4.5,5.0,2.8000000000000003,6.800000000000001,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,12,0.0,0.0,0.0,6.5,11.799999999999999,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,22,7.7,3.8,1.0999999999999999,2.9000000000000004,0.0,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
272,37,8.7,6.5,1.7999999999999998,3.3000000000000003,0.0,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,28,5.0,5.0,0.8999999999999999,5.7,2.5,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,19,4.2,4.2,4.8,4.8,0.0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,50,13.0,11.1,5.3,1.7999999999999998,3.6999999999999997,3.6999999999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,34,5.3,5.3,5.800000000000001,2.3,5.3,34.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,12,0.0,0.0,0.0,11.1,5.8999999999999995,52.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,30,8.3,0.0,1.5,4.0,8.3,19.400000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,10,8.3,0.0,3.1,3.1,0.0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,17,5.6000000000000005,22.2,4.9,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,10,0.0,0.0,0.0,6.6000000000000005,7.7,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
