line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,verb_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,word_count_trans,adj_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
30,5,0.0,0.0,3.3000000000000003,6.7,0.0,57.1,1.405115826483646,0.0,1.8165902124584952,2.588435821108957,1.2095044770593142,0.0,0.0,7.556454194925025
40,5,0.0,40.0,2.5,0.0,0.0,0.0,1.4461255495919247,0.0,1.5811388300841898,0.0,0.0,3.4199518933533937,0.0,0.0
83,15,12.5,0.0,3.6,1.2,6.2,43.8,1.5556353708263266,3.5355339059327378,1.8973665961010275,1.0954451150103321,1.0183993761470242,0.0,1.8370905500142276,6.618156843109719
58,8,0.0,8.3,0.0,5.2,16.7,41.7,1.50086904106665,0.0,0.0,2.280350850198276,1.179234928546054,2.024693852005457,2.5560665504814426,6.457553716385176
20,4,0.0,0.0,0.0,5.0,40.0,40.0,1.3492828476735634,0.0,0.0,2.23606797749979,1.174618943088019,0.0,3.4199518933533937,6.324555320336759
18,4,0.0,0.0,0.0,11.1,0.0,66.7,1.335141362540313,0.0,0.0,3.331666249791536,1.2721323532877689,0.0,0.0,8.167006795638168
45,7,0.0,12.5,4.4,2.2,0.0,0.0,1.4632591596632238,0.0,2.0976176963403033,1.4832396974191326,1.0820373898183429,2.320794416806389,0.0,0.0
82,9,10.0,10.0,2.4,2.4,0.0,10.0,1.5537508714732025,3.1622776601683795,1.5491933384829668,1.5491933384829668,1.091493425617897,2.154434690031884,0.0,3.1622776601683795
13,4,0.0,0.0,0.0,0.0,0.0,100.0,1.2923922207808318,0.0,0.0,0.0,0.0,0.0,0.0,10.0
38,6,0.0,16.7,5.3,2.6,0.0,16.7,1.4387268865499157,0.0,2.3021728866442674,1.61245154965971,1.100265093106018,2.5560665504814426,0.0,4.08656334834051
28,4,0.0,0.0,3.6,3.6,0.0,60.0,1.3954548940149718,0.0,1.8973665961010275,1.8973665961010275,1.1366591441393648,0.0,0.0,7.745966692414834
252,42,8.7,10.9,5.2,1.6,2.2,26.1,1.7383613363123431,2.949576240750525,2.280350850198276,1.2649110640673518,1.0481223894689577,2.217220230966632,1.300591446851387,5.10881590977792
40,5,14.3,14.3,0.0,5.0,0.0,14.3,1.4461255495919247,3.7815340802378077,0.0,2.23606797749979,1.174618943088019,2.4272360429169444,0.0,3.7815340802378077
17,2,0.0,0.0,0.0,0.0,0.0,50.0,1.3275316748885193,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755
50,1,0.0,33.300000000000004,0.0,18.0,0.0,0.0,1.4787576366283137,0.0,0.0,4.242640687119285,1.335141362540313,3.2172248249150837,0.0,0.0
48,9,0.0,0.0,2.1,8.3,0.0,53.8,1.4727333575346888,0.0,1.449137674618944,2.8809720581775866,1.235685097983129,0.0,0.0,7.334848328356899
58,9,0.0,9.1,1.7000000000000002,1.7000000000000002,18.2,45.5,1.50086904106665,0.0,1.3038404810405297,1.3038404810405297,1.0544958918547662,2.087759478663449,2.6304121142856256,6.745368781616021
36,6,0.0,0.0,0.0,2.8000000000000003,14.3,28.6,1.4309690811052556,0.0,0.0,1.6733200530681511,1.108449222600272,0.0,2.4272360429169444,5.347896782848375
30,6,16.7,0.0,3.3000000000000003,0.0,16.7,50.0,1.405115826483646,4.08656334834051,1.8165902124584952,0.0,0.0,0.0,2.5560665504814426,7.0710678118654755
17,2,0.0,0.0,0.0,0.0,0.0,50.0,1.3275316748885193,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755
36,4,0.0,0.0,0.0,0.0,0.0,75.0,1.4309690811052556,0.0,0.0,0.0,0.0,0.0,0.0,8.660254037844387
18,2,0.0,50.0,0.0,0.0,0.0,0.0,1.335141362540313,0.0,0.0,0.0,0.0,3.6840314986403864,0.0,0.0
147,25,0.0,0.0,0.0,14.3,0.0,56.8,1.6471446252729616,0.0,0.0,3.7815340802378077,1.3047689218633443,0.0,0.0,7.536577472566709
79,13,0.0,17.599999999999998,3.8,5.1,0.0,5.9,1.547970603881666,0.0,1.9493588689617927,2.258317958127243,1.1769473018226546,2.6011828937027737,0.0,2.4289915602982237
271,40,14.6,6.2,3.7,4.1000000000000005,4.2,27.1,1.7510434757409536,3.82099463490856,1.9235384061671346,2.024845673131659,1.1515382961787317,1.8370905500142276,1.6134286460245437,5.205766033928148
78,12,0.0,25.0,2.6,2.6,0.0,25.0,1.5459998956507686,0.0,1.61245154965971,1.61245154965971,1.100265093106018,2.924017738212866,0.0,5.0
73,15,0.0,0.0,5.5,0.0,0.0,6.7,1.5357915933617867,0.0,2.345207879911715,0.0,0.0,0.0,0.0,2.588435821108957
42,4,0.0,8.3,0.0,21.4,8.3,8.3,1.4531984602822678,0.0,0.0,4.626013402488151,1.3584428658411765,2.024693852005457,2.024693852005457,2.8809720581775866
32,5,0.0,0.0,0.0,6.2,0.0,71.39999999999999,1.4142135623730951,0.0,0.0,2.4899799195977463,1.2001600575667746,0.0,0.0,8.449852069711042
8,2,0.0,0.0,0.0,0.0,0.0,100.0,1.2311444133449163,0.0,0.0,0.0,0.0,0.0,0.0,10.0
334,54,6.3,4.8,4.2,2.7,9.5,22.2,1.7880293637539828,2.5099800796022267,2.04939015319192,1.6431676725154984,1.1044253752367947,1.6868653306034984,2.1179117921274466,4.711687595755898
54,8,0.0,11.1,3.7,1.9,0.0,11.1,1.490182215342446,0.0,1.9235384061671346,1.378404875209022,1.0662900584785258,2.2306991044756197,0.0,3.331666249791536
23,4,0.0,0.0,0.0,0.0,0.0,100.0,1.368273083326153,0.0,0.0,0.0,0.0,0.0,0.0,10.0
106,13,0.0,4.8,0.8999999999999999,8.5,0.0,28.6,1.5941551500450146,0.0,0.9486832980505138,2.9154759474226504,1.2386308499811036,1.6868653306034984,0.0,5.347896782848375
13,2,0.0,0.0,0.0,23.1,25.0,0.0,1.2923922207808318,0.0,0.0,4.806245936279167,1.3688668239243005,0.0,2.924017738212866,0.0
28,5,0.0,0.0,0.0,0.0,0.0,100.0,1.3954548940149718,0.0,0.0,0.0,0.0,0.0,0.0,10.0
42,2,0.0,0.0,0.0,14.3,33.300000000000004,0.0,1.4531984602822678,0.0,0.0,3.7815340802378077,1.3047689218633443,0.0,3.2172248249150837,0.0
12,2,0.0,0.0,0.0,0.0,0.0,100.0,1.2820888539868154,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,2,0.0,0.0,12.5,0.0,0.0,0.0,1.2311444133449163,0.0,3.5355339059327378,0.0,0.0,0.0,0.0,0.0
91,16,5.9,5.9,6.6000000000000005,1.1,5.9,5.9,1.570016220211393,2.4289915602982237,2.569046515733026,1.0488088481701516,1.009576582776887,1.8069688693211896,1.8069688693211896,2.4289915602982237
59,10,9.1,9.1,5.1,3.4000000000000004,0.0,9.1,1.5034368858142386,3.0166206257996713,2.258317958127243,1.8439088914585775,1.1301807132434794,2.087759478663449,0.0,3.0166206257996713
332,53,13.8,5.2,4.8,1.2,0.0,13.8,1.7869557914434038,3.714835124201342,2.1908902300206643,1.0954451150103321,1.0183993761470242,1.7324782106818055,0.0,3.714835124201342
41,7,0.0,0.0,0.0,4.9,12.5,62.5,1.4497008237135636,0.0,0.0,2.2135943621178655,1.1722482903028724,0.0,2.320794416806389,7.905694150420948
43,11,16.7,8.3,11.6,2.3,0.0,8.3,1.4566219347661553,4.08656334834051,3.40587727318528,1.51657508881031,1.0868579428992127,2.024693852005457,0.0,2.8809720581775866
76,9,0.0,16.7,0.0,6.6000000000000005,0.0,50.0,1.5419892968416637,0.0,0.0,2.569046515733026,1.2076870059474099,2.5560665504814426,0.0,7.0710678118654755
38,1,0.0,0.0,0.0,18.4,0.0,0.0,1.4387268865499157,0.0,0.0,4.2895221179054435,1.3380790844999138,0.0,0.0,0.0
501,64,6.800000000000001,3.4000000000000004,1.4,5.6000000000000005,2.3,19.3,1.8620175610770353,2.6076809620810595,1.1832159566199232,2.3664319132398464,1.1880064613519559,1.5036945962049748,1.3200061217959123,4.39317652729776
218,34,2.5,2.5,3.7,2.8000000000000003,0.0,32.5,1.713348265920711,1.5811388300841898,1.9235384061671346,1.6733200530681511,1.108449222600272,1.3572088082974532,0.0,5.70087712549569
224,33,5.0,2.5,2.7,3.1,0.0,30.0,1.7180064968413549,2.23606797749979,1.6431676725154984,1.760681686165901,1.1197889288345146,1.3572088082974532,0.0,5.477225575051661
14,2,0.0,0.0,0.0,0.0,50.0,0.0,1.3020054543174677,0.0,0.0,0.0,0.0,0.0,3.6840314986403864,0.0
11,2,0.0,0.0,0.0,0.0,0.0,100.0,1.2709816152101407,0.0,0.0,0.0,0.0,0.0,0.0,10.0
13,2,0.0,0.0,0.0,0.0,0.0,100.0,1.2923922207808318,0.0,0.0,0.0,0.0,0.0,0.0,10.0
