line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage
34,7,14.3,0.0,5.9,0.0,0.0,0.0
36,4,0.0,20.0,2.8000000000000003,2.8000000000000003,0.0,0.0
63,11,8.3,0.0,7.9,1.6,0.0,0.0
33,5,0.0,0.0,3.0,0.0,0.0,83.3
11,2,0.0,0.0,0.0,0.0,0.0,100.0
85,14,0.0,6.7,5.9,1.2,0.0,13.3
33,5,0.0,0.0,3.0,3.0,0.0,66.7
81,14,0.0,0.0,3.7,6.2,0.0,5.3
14,3,0.0,33.300000000000004,0.0,0.0,0.0,66.7
14,2,0.0,0.0,0.0,14.3,0.0,66.7
39,7,0.0,25.0,0.0,15.4,16.7,16.7
43,5,0.0,0.0,0.0,0.0,0.0,100.0
11,3,0.0,25.0,0.0,0.0,0.0,75.0
52,9,0.0,0.0,5.800000000000001,1.9,0.0,10.0
98,14,17.599999999999998,5.9,3.1,3.1,0.0,0.0
83,10,0.0,0.0,0.0,3.6,7.1,71.39999999999999
19,4,0.0,0.0,5.3,0.0,0.0,75.0
43,7,0.0,0.0,4.7,4.7,0.0,20.0
61,7,11.1,0.0,1.6,4.9,0.0,0.0
107,1,0.0,0.0,0.0,91.6,0.0,0.0
35,5,0.0,0.0,2.9000000000000004,0.0,0.0,80.0
45,9,0.0,0.0,0.0,15.6,6.7,53.3
67,9,10.0,0.0,1.5,3.0,20.0,40.0
41,6,0.0,0.0,4.9,0.0,0.0,50.0
12,3,0.0,0.0,0.0,0.0,0.0,100.0
64,9,0.0,10.0,1.6,1.6,0.0,10.0
28,5,0.0,16.7,3.6,3.6,0.0,16.7
34,6,0.0,0.0,0.0,0.0,33.300000000000004,66.7
24,4,0.0,0.0,0.0,4.2,40.0,40.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
25,4,0.0,0.0,0.0,0.0,0.0,100.0
72,11,0.0,0.0,0.0,1.4,8.3,83.3
66,11,6.7,0.0,0.0,0.0,13.3,80.0
44,7,0.0,0.0,2.3,9.1,10.0,40.0
30,5,0.0,0.0,3.3000000000000003,0.0,0.0,80.0
70,11,30.8,7.7,4.3,2.9000000000000004,0.0,0.0
111,17,11.8,5.9,3.6,0.0,0.0,5.9
24,3,0.0,33.300000000000004,0.0,0.0,0.0,66.7
135,23,15.4,0.0,3.7,2.2,0.0,19.2
107,15,10.5,10.5,2.8000000000000003,4.7,0.0,21.1
11,2,0.0,0.0,0.0,0.0,0.0,100.0
196,30,12.1,6.1,4.1000000000000005,1.5,0.0,9.1
46,8,11.1,0.0,4.3,2.2,11.1,0.0
258,41,8.9,6.7,3.9,1.6,0.0,4.4
30,3,20.0,0.0,0.0,6.7,0.0,20.0
95,14,0.0,13.3,5.3,1.1,0.0,20.0
87,15,12.5,0.0,5.7,1.1,0.0,6.2
105,13,0.0,5.3,0.0,5.7,0.0,57.9
26,4,0.0,0.0,0.0,0.0,0.0,75.0
